Alabama,1,1,2020,3,Not an Intersection,Tree (Standing Only)
Alabama,2,1,2020,1,Not an Intersection,Motor Vehicle In-Transport
Alabama,2,1,2020,1,T-Intersection,Ditch
Alabama,3,1,2020,1,Not an Intersection,Tree (Standing Only)
Alabama,4,1,2020,1,Not an Intersection,Tree (Standing Only)
Alabama,4,1,2020,1,Not an Intersection,Motor Vehicle In-Transport
Alabama,7,1,2020,1,Four-Way Intersection,Pedestrian
Alabama,8,1,2020,1,Not an Intersection,Motor Vehicle In-Transport
Alabama,9,1,2020,1,Not an Intersection,Motor Vehicle In-Transport
Alabama,10,1,2020,1,Not an Intersection,Motor Vehicle In-Transport
Alabama,10,1,2020,1,Four-Way Intersection,Motor Vehicle In-Transport
Alabama,11,1,2020,1,Four-Way Intersection,Motor Vehicle In-Transport
Alabama,13,1,2020,1,Not an Intersection,Pedestrian
Alabama,13,1,2020,1,Not an Intersection,Ditch
Alabama,13,1,2020,1,Not an Intersection,Pedalcyclist
Alabama,13,1,2020,1,Not an Intersection,Motor Vehicle In-Transport
Alabama,13,1,2020,1,Y-Intersection,Pedestrian
Alabama,14,1,2020,1,Not an Intersection,Motor Vehicle In-Transport
Alabama,14,1,2020,1,Not an Intersection,Immersion or Partial Immersion
Alabama,15,1,2020,1,Not an Intersection,Tree (Standing Only)
Alabama,16,1,2020,1,Four-Way Intersection,Motor Vehicle In-Transport
Alabama,16,1,2020,1,Not an Intersection,Rollover/Overturn
Alabama,17,1,2020,1,Not an Intersection,Tree (Standing Only)
Alabama,17,1,2020,1,Four-Way Intersection,Motor Vehicle In-Transport
Alabama,17,1,2020,1,Four-Way Intersection,Tree (Standing Only)
Alabama,17,1,2020,1,Not an Intersection,Jackknife (harmful to this vehicle)
Alabama,18,1,2020,1,Not an Intersection,Guardrail End
Alabama,17,1,2020,1,Not an Intersection,Tree (Standing Only)
Alabama,12,1,2020,1,Not an Intersection,Pedestrian
Alabama,11,1,2020,2,Not an Intersection,Motor Vehicle In-Transport
Alabama,17,2,2020,1,Not an Intersection,Motor Vehicle In-Transport
Alabama,17,2,2020,1,Not an Intersection,Parked Motor Vehicle
Alabama,14,2,2020,1,Not an Intersection,Rollover/Overturn
Alabama,7,2,2020,1,Not an Intersection,Motor Vehicle In-Transport
Alabama,6,2,2020,1,Not an Intersection,Pedestrian
Alabama,5,2,2020,1,Not an Intersection,Tree (Standing Only)
Alabama,3,2,2020,1,Not an Intersection,Motor Vehicle In-Transport
Alabama,28,1,2020,1,Not an Intersection,Pedestrian
Alabama,18,1,2020,1,Not an Intersection,Ditch
Alabama,18,1,2020,1,Not an Intersection,Motor Vehicle In-Transport
Alabama,18,1,2020,1,Not an Intersection,Pedestrian
Alabama,19,1,2020,3,Not an Intersection,Tree (Standing Only)
Alabama,19,1,2020,1,Not an Intersection,Motor Vehicle In-Transport
Alabama,19,1,2020,1,Not an Intersection,Pedalcyclist
